index;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;5.5772357723577235;17610.204;1.0;2.0;2.0
1;10.821138211382113;16734.45340000002;2.0;2.0;4.0
2;15.795081967213115;26064.95900000001;3.0;2.0;6.0
3;21.925619834710744;65981.4272;4.0;2.0;8.0
4;27.073170731707318;16039.41;5.0;2.0;10.0
5;31.30081300813008;20858.1598;6.0;2.0;12.0
6;37.21951219512195;20624.643;7.0;2.0;14.0
7;41.65853658536585;21351.819300000006;8.0;2.0;16.0
8;46.28688524590164;73767.47720000002;9.0;2.0;18.0
9;50.80327868852459;56066.076700000005;10.0;2.0;20.0
10;55.359375;50641.34920000003;11.0;2.0;22.0
11;60.00813008130081;66567.20219999996;12.0;2.0;24.0
12;64.17213114754098;55945.6885;13.0;2.0;26.0
13;68.54098360655738;19903.111;14.0;2.0;28.0
14;71.00813008130082;65195.939;15.0;2.0;30.0
15;76.17355371900827;61014.969;16.0;2.0;32.0
16;79.61475409836065;73680.9736;17.0;2.0;34.0
18;84.2520325203252;69784.203;19.0;2.0;38.0
17;84.62903225806451;62031.623;18.0;2.0;36.0
19;89.5;41223.6576;20.0;2.0;40.0
20;94.60162601626017;59751.85920000005;21.0;2.0;42.0
21;97.98360655737704;59142.605;22.0;2.0;44.0
22;102.34677419354838;43559.376;23.0;2.0;46.0
23;105.23577235772358;54334.053600000014;24.0;2.0;48.0
24;108.98373983739837;54706.337;25.0;2.0;50.0
25;112.130081300813;53326.724;26.0;2.0;52.0
26;116.12295081967213;60410.003;27.0;2.0;54.0
27;119.95121951219512;48803.714;28.0;2.0;56.0
28;120.20491803278688;49525.330400000006;29.0;2.0;58.0
34;122.59349593495935;44552.10600000001;35.0;2.0;70.0
29;122.87096774193549;37590.382;30.0;2.0;60.0
70;124.736;107575.41329999999;71.0;2.0;142.0
88;125.86065573770492;110242.8785;89.0;2.0;178.0
84;126.50819672131148;105545.82320000001;85.0;2.0;170.0
72;126.6260162601626;98745.442;73.0;2.0;146.0
99;126.93442622950819;94744.1498;100.0;2.0;200.0
90;127.26229508196721;73188.0035;91.0;2.0;182.0
89;127.44262295081967;106931.2204;90.0;2.0;180.0
82;127.64754098360656;91935.39030000001;83.0;2.0;166.0
95;127.75409836065573;93017.7302;96.0;2.0;192.0
91;127.7560975609756;122380.6725;92.0;2.0;184.0
86;127.82786885245902;115759.355;87.0;2.0;174.0
83;127.90983606557377;102287.15379999999;84.0;2.0;168.0
98;128.49180327868854;94675.69940000003;99.0;2.0;198.0
30;128.54918032786884;32282.623200000024;31.0;2.0;62.0
92;128.72;;93.0;2.0;186.0
79;128.8211382113821;80027.84;80.0;2.0;160.0
77;129.0;86326.89330000003;78.0;2.0;156.0
93;129.01626016260164;119852.48240000001;94.0;2.0;188.0
94;129.18032786885246;106372.55720000001;95.0;2.0;190.0
87;129.28688524590163;92148.91960000004;88.0;2.0;176.0
96;129.3360655737705;134712.8438;97.0;2.0;194.0
85;129.38524590163934;127078.5034;86.0;2.0;172.0
31;129.66666666666666;40054.40440000001;32.0;2.0;64.0
81;130.21951219512195;89198.52510000001;82.0;2.0;164.0
97;130.25619834710744;;98.0;2.0;196.0
76;130.4016393442623;81708.564;77.0;2.0;154.0
75;130.7704918032787;73549.782;76.0;2.0;152.0
73;131.4878048780488;79374.7761;74.0;2.0;148.0
32;132.15873015873015;44058.858;33.0;2.0;66.0
80;132.25409836065575;88510.83370000002;81.0;2.0;162.0
68;132.34146341463415;83876.4218;69.0;2.0;138.0
74;132.77868852459017;94262.804;75.0;2.0;150.0
69;133.79674796747966;86390.84759999998;70.0;2.0;140.0
71;133.87704918032787;76226.73540000003;72.0;2.0;144.0
67;133.9430894308943;75738.0225;68.0;2.0;136.0
78;133.95081967213116;74502.004;79.0;2.0;158.0
64;134.0737704918033;78758.769;65.0;2.0;130.0
66;134.327868852459;86035.39100000002;67.0;2.0;134.0
62;135.36885245901638;78414.65179999999;63.0;2.0;126.0
59;135.7622950819672;66166.046;60.0;2.0;120.0
61;136.1219512195122;58785.9476;62.0;2.0;124.0
65;136.19672131147541;61178.84690000001;66.0;2.0;132.0
58;136.37704918032787;76703.61049999998;59.0;2.0;118.0
57;136.80645161290323;64321.538700000005;58.0;2.0;116.0
63;136.9016393442623;71785.34079999999;64.0;2.0;128.0
33;136.99180327868854;41542.4565;34.0;2.0;68.0
55;137.30327868852459;57250.18000000001;56.0;2.0;112.0
45;137.43548387096774;47560.4708;46.0;2.0;92.0
54;137.7479674796748;58128.912599999974;55.0;2.0;110.0
60;137.95081967213116;50885.29800000001;61.0;2.0;122.0
53;138.74193548387098;70130.26970000002;54.0;2.0;108.0
38;138.95934959349594;36405.405399999996;39.0;2.0;78.0
35;139.16935483870967;39097.86600000001;36.0;2.0;72.0
44;139.66935483870967;38679.079800000014;45.0;2.0;90.0
36;139.72131147540983;37752.27610000001;37.0;2.0;74.0
46;139.9126984126984;39472.03210000001;47.0;2.0;94.0
52;140.49180327868854;59731.57150000005;53.0;2.0;106.0
56;140.7642276422764;69483.4464;57.0;2.0;114.0
51;141.0;47684.095799999996;52.0;2.0;104.0
43;141.6829268292683;45267.8436;44.0;2.0;88.0
49;141.87704918032787;47446.439100000025;50.0;2.0;100.0
37;141.9672131147541;39728.515499999994;38.0;2.0;76.0
48;142.04065040650406;50018.392400000004;49.0;2.0;98.0
50;142.55737704918033;48808.594;51.0;2.0;102.0
47;143.1869918699187;47799.711;48.0;2.0;96.0
41;143.53658536585365;39668.6444;42.0;2.0;84.0
42;143.5737704918033;43234.043;43.0;2.0;86.0
39;143.84426229508196;46182.13290000001;40.0;2.0;80.0
40;145.6290322580645;47340.13300000003;41.0;2.0;82.0